sample_id,source,is_synthetic,synthetic_type,doc_id,section,category,title,published_at,text,topic,stance,sentiment,topic_id,stance_id,sentiment_id,date,year,is_boilerplate_candidate
manual_000000,manual,False,,9f6ce1f44b56aa106eff8bd6a023dc17763a206d,mp_decisions,press_release,О ключевой ставке Банка России,13 декабря 2013 г,О ключевой ставке Банка России.,Interest rate,Other,Other,1,2,5,2013-12-13,2013,True
manual_000001,manual,False,,9f6ce1f44b56aa106eff8bd6a023dc17763a206d,mp_decisions,press_release,О ключевой ставке Банка России,13 декабря 2013 г,"Совет директоров Банка России 13 декабря 2013 года принял решение сохранить ключевую ставку Банка России на уровне 5,50% годовых.",Interest rate,Backward-looking,Neutral,1,1,2,2013-12-13,2013,False
manual_000002,manual,False,,9f6ce1f44b56aa106eff8bd6a023dc17763a206d,mp_decisions,press_release,О ключевой ставке Банка России,13 декабря 2013 г,Указанное решение принято на основе оценки инфляционных рисков и перспектив экономического роста.,Interest rate,Backward-looking,Neutral,1,1,2,2013-12-13,2013,False
manual_000003,manual,False,,9f6ce1f44b56aa106eff8bd6a023dc17763a206d,mp_decisions,press_release,О ключевой ставке Банка России,13 декабря 2013 г,Динамика основных макроэкономических индикаторов свидетельствует о сохранении низких темпов роста российской экономики.,Economic activity,Backward-looking,Dovish,5,1,1,2013-12-13,2013,False
manual_000004,manual,False,,9f6ce1f44b56aa106eff8bd6a023dc17763a206d,mp_decisions,press_release,О ключевой ставке Банка России,13 декабря 2013 г,"Производственная активность и инвестиционный спрос остаются слабыми, а индикаторы предпринимательской уверенности указывают на отсутствие улучшения настроений производителей.",Economic activity,Backward-looking,Dovish,5,1,1,2013-12-13,2013,False
manual_000005,manual,False,,9f6ce1f44b56aa106eff8bd6a023dc17763a206d,mp_decisions,press_release,О ключевой ставке Банка России,13 декабря 2013 г,"Основным источником экономического роста по-прежнему является потребительская активность, поддерживаемая ростом реальной заработной платы и розничного кредитования.",Economic activity,Backward-looking,Hawkish,5,1,0,2013-12-13,2013,False
manual_000006,manual,False,,9f6ce1f44b56aa106eff8bd6a023dc17763a206d,mp_decisions,press_release,О ключевой ставке Банка России,13 декабря 2013 г,"По оценкам Банка России, совокупный выпуск остается несколько ниже своего потенциального уровня.",Economic activity,Backward-looking,Dovish,5,1,1,2013-12-13,2013,False
manual_000007,manual,False,,9f6ce1f44b56aa106eff8bd6a023dc17763a206d,mp_decisions,press_release,О ключевой ставке Банка России,13 декабря 2013 г,При этом безработица сохраняется на сравнительно невысоком уровне.,Labor market,Backward-looking,Hawkish,6,1,0,2013-12-13,2013,False
manual_000008,manual,False,,9f6ce1f44b56aa106eff8bd6a023dc17763a206d,mp_decisions,press_release,О ключевой ставке Банка России,13 декабря 2013 г,"В ноябре и начале декабря годовой темп прироста потребительских цен увеличился и по оценке на 9 декабря 2013 года составил 6,5%, что выше целевого диапазона по инфляции на текущий год.",Inflation,Backward-looking,Hawkish,0,1,0,2013-12-13,2013,False
manual_000009,manual,False,,9f6ce1f44b56aa106eff8bd6a023dc17763a206d,mp_decisions,press_release,О ключевой ставке Банка России,13 декабря 2013 г,"Повышение темпа инфляции обусловлено главным образом продолжившимся удорожанием плодоовощной продукции, не характерным для данного сезона, и продуктов животного происхождения.",Inflation,Backward-looking,Hawkish,0,1,0,2013-12-13,2013,False
manual_000010,manual,False,,9f6ce1f44b56aa106eff8bd6a023dc17763a206d,mp_decisions,press_release,О ключевой ставке Банка России,13 декабря 2013 г,"По итогам ноября базовая инфляция составила 5,6%.",Inflation,Backward-looking,Neutral,0,1,2,2013-12-13,2013,False
manual_000011,manual,False,,9f6ce1f44b56aa106eff8bd6a023dc17763a206d,mp_decisions,press_release,О ключевой ставке Банка России,13 декабря 2013 г,"Отсутствие выраженного давления на цены со стороны спроса в условиях нахождения совокупного выпуска несколько ниже своего потенциального уровня является одним из факторов, сдерживающих рост цен непродовольственных товаров в последние месяцы.",Inflation,Backward-looking,Dovish,0,1,1,2013-12-13,2013,False
manual_000012,manual,False,,9f6ce1f44b56aa106eff8bd6a023dc17763a206d,mp_decisions,press_release,О ключевой ставке Банка России,13 декабря 2013 г,"По оценкам Банка России, действие факторов, обусловивших ускорение роста цен, имеет краткосрочный характер.",Inflation,Forward-looking,Dovish,0,0,1,2013-12-13,2013,False
manual_000013,manual,False,,9f6ce1f44b56aa106eff8bd6a023dc17763a206d,mp_decisions,press_release,О ключевой ставке Банка России,13 декабря 2013 г,Банк России прогнозирует возобновление снижения темпов роста потребительских цен в первой половине 2014 года и достижение цели по инфляции во второй половине года.,Inflation,Forward-looking,Dovish,0,0,1,2013-12-13,2013,False
manual_000014,manual,False,,9f6ce1f44b56aa106eff8bd6a023dc17763a206d,mp_decisions,press_release,О ключевой ставке Банка России,13 декабря 2013 г,"Ожидается медленное восстановление внешнего спроса и сохранение слабой инвестиционной активности, что окажет сдерживающее влияния на динамику инфляции.",External conditions,Forward-looking,Dovish,7,0,1,2013-12-13,2013,False
manual_000015,manual,False,,9f6ce1f44b56aa106eff8bd6a023dc17763a206d,mp_decisions,press_release,О ключевой ставке Банка России,13 декабря 2013 г,"В то же время наблюдаемое повышение темпов роста потребительских цен может оказать влияние на ожидания субъектов экономики, что служит источником инфляционных рисков.",Expectations,Forward-looking,Risk-highlighting,4,0,3,2013-12-13,2013,False
