sample_id,source,is_synthetic,synthetic_type,doc_id,section,category,title,published_at,text,topic,stance,sentiment,topic_id,stance_id,sentiment_id,date,year,is_boilerplate_candidate
synthetic_000000,synthetic,True,rare_joint,,,synthetic,,,Дальнейшее ослабление рубля может усилить перенос курсовой динамики в цены широкого круга импортозависимых товаров.,Exchange rate,Forward-looking,Hawkish,9,0,0,,,False
synthetic_000001,synthetic,True,rare_joint,,,synthetic,,,При сохранении повышенного спроса на иностранную валюту курсовое давление будет формировать дополнительные проинфляционные импульсы.,Exchange rate,Forward-looking,Hawkish,9,0,0,,,False
synthetic_000002,synthetic,True,rare_joint,,,synthetic,,,Вероятное снижение курса рубля в ближайшие месяцы способно ускорить рост потребительских цен через удорожание импортных поставок.,Exchange rate,Forward-looking,Hawkish,9,0,0,,,False
synthetic_000003,synthetic,True,rare_joint,,,synthetic,,,"Если давление на валютном рынке усилится, вклад курсового фактора в инфляцию может стать более значимым.",Exchange rate,Forward-looking,Hawkish,9,0,0,,,False
synthetic_000004,synthetic,True,rare_joint,,,synthetic,,,Ожидаемое расширение валютного спроса со стороны импортеров может привести к ослаблению рубля и усилению ценового давления.,Exchange rate,Forward-looking,Hawkish,9,0,0,,,False
synthetic_000005,synthetic,True,rare_joint,,,synthetic,,,Дальнейшая волатильность курса рубля будет повышать неопределенность ценовой политики компаний и поддерживать инфляционное давление.,Exchange rate,Forward-looking,Hawkish,9,0,0,,,False
synthetic_000006,synthetic,True,rare_joint,,,synthetic,,,"В случае устойчивого ослабления рубля издержки производителей, зависящих от импортных компонентов, могут расти быстрее.",Exchange rate,Forward-looking,Hawkish,9,0,0,,,False
synthetic_000007,synthetic,True,rare_joint,,,synthetic,,,Сохранение пониженного предложения иностранной валюты на внутреннем рынке может усилить давление на курс рубля и цены.,Exchange rate,Forward-looking,Hawkish,9,0,0,,,False
synthetic_000008,synthetic,True,rare_joint,,,synthetic,,,"При ухудшении баланса спроса и предложения на валютном рынке рубль может ослабнуть, что ускорит инфляционную подстройку.",Exchange rate,Forward-looking,Hawkish,9,0,0,,,False
synthetic_000009,synthetic,True,rare_joint,,,synthetic,,,Более слабый курс рубля в прогнозном периоде будет ограничивать замедление инфляции через рост рублевых цен на импорт.,Exchange rate,Forward-looking,Hawkish,9,0,0,,,False
synthetic_000010,synthetic,True,rare_joint,,,synthetic,,,Возобновление давления на рубль может потребовать более жестких денежно-кредитных условий для сдерживания вторичных ценовых эффектов.,Exchange rate,Forward-looking,Hawkish,9,0,0,,,False
synthetic_000011,synthetic,True,rare_joint,,,synthetic,,,"Если курсовые ожидания участников рынка ухудшатся, перенос ослабления рубля в цены может усилиться.",Exchange rate,Forward-looking,Hawkish,9,0,0,,,False
synthetic_000012,synthetic,True,rare_joint,,,synthetic,,,Дальнейшее смещение валютного спроса в сторону покупки иностранной валюты будет создавать дополнительное инфляционное давление.,Exchange rate,Forward-looking,Hawkish,9,0,0,,,False
synthetic_000013,synthetic,True,rare_joint,,,synthetic,,,Ослабление рубля в предстоящие кварталы может повысить инфляционные издержки компаний и ускорить пересмотр розничных цен.,Exchange rate,Forward-looking,Hawkish,9,0,0,,,False
synthetic_000014,synthetic,True,rare_joint,,,synthetic,,,При сохранении повышенной чувствительности цен к курсу рубля его дальнейшее снижение будет усиливать проинфляционные риски.,Exchange rate,Forward-looking,Hawkish,9,0,0,,,False
synthetic_000015,synthetic,True,rare_joint,,,synthetic,,,Новый эпизод ослабления рубля способен замедлить возвращение инфляции к цели за счет роста стоимости импортируемых товаров.,Exchange rate,Forward-looking,Hawkish,9,0,0,,,False
